word,object_type,relation_type,phoneme_nb,lexical_freq,visual_freq,AoA,visual_complexity,familiarity,imageability,concreteness
ruche,2,3,3,2.03,2.64,8.21,3.91,2.35,4.40625,4.5
sauterelle,2,4,7,1.62,1.63,6.85,3.48,1.79,4.33333333333333,4.66666666666667
scie,1,2,2,8.11,5.21,7.35,2.26,2.32,4.69791666666667,4.79166666666667
sechecheveux,1,1,7,0,0.97,5.62,2.74,4.18,4.86458333333333,4.89583333333333
selle,1,3,3,16.08,8.9,7.74,4.43,1.65,4.39583333333333,4.53125
souris,2,4,4,22.57,21.94,3.5,3,2.32,4.79166666666667,4.70833333333333
stylo,1,4,5,10.61,15.34,3.85,1.74,4.76,4.89583333333333,4.92708333333333
tabouret,1,1,6,15.47,2.79,6.77,2.04,2.99,4.92708333333333,4.83333333333333
taillecrayon,1,1,8,0.54,0.04,4.91,2.52,2.76,4.82291666666667,4.84375
tasse,1,3,3,25.07,18.52,3.32,1.48,4.41,4.95833333333333,4.98958333333333
television,1,3,9,23.51,25.45,6.39,1.69,4.57,4.97916666666667,4.89583333333333
tirebouchon,1,3,7,2.16,0.9,8.26,2.09,3.26,4.73958333333333,4.84375
tong,1,4,3,0.07,1.12,5.85,1.91,3.41,4.70833333333333,4.77083333333333
torchon,1,3,5,7.23,2.95,5.44,1.78,4.59,4.63541666666667,4.77083333333333
tortue,2,2,5,0.34,0.58,6.36,4.08,2.14,4.92708333333333,4.66666666666667
tournevis,1,2,8,3.24,3.46,7.18,2.09,2.88,4.70833333333333,4.79166666666667
vache,2,4,3,26.08,36.24,2.62,3.04,3.76,4.96875,4.89583333333333
vague,2,3,3,38.18,12.8,3.94,2.78,3.03,4.61458333333333,4.16666666666667
verdeterre,2,2,3,5.61,10.21,4.65,1.65,NaN,4.84375,4.65625
violon,1,2,5,9.73,11.56,6.38,3.65,NaN,4.78125,4.77083333333333
volantdebadminton,1,2,4,3.78,0.41,9.23,2.94,1.64,4.59375,4.625
